City,State,Property Type,Bedrooms,Bathrooms,Price (USD),Square Feet,Availability,Walk Score,Property Rating,Street Address,Property Name,Availability Date
Atlanta,Georgia,Townhouse,3,3,4296.33,795,Available,93,2.7,6784 Jessica Divide Apt. 229,Stark Group Apartments,2025-11-11
Los Angeles,California,Apartment,1,3,3322.0,2175,Not Available,95,4.2,48471 Green Wall,Castro Ltd Apartments,2024-11-20
San Diego,California,House,4,2,15310.38,2335,Not Available,81,4.3,21744 Kelly Parkways,"Wells, Smith and Dunlap Apartments",2024-09-02
San Francisco,California,Condo,3,2,13396.05,2339,Available,47,5.0,1579 Scott Squares Suite 309,Mack Inc Apartments,2025-04-10
San Francisco,California,Condo,3,2,14266.77,886,Not Available,88,3.6,7692 Walters Glens,Leonard and Sons Apartments,2025-03-23
San Diego,California,Townhouse,2,3,6837.92,2494,Available,40,4.0,50714 David Isle Suite 724,Stark-Garrett Apartments,2024-04-17
NYC,New York,Townhouse,4,2,17819.46,942,Not Available,89,4.7,820 Riley Isle,"Rodriguez, Reed and Rivera Apartments",2026-01-17
Orlando,Florida,Apartment,1,3,2145.44,1211,Available,30,2.6,4152 Cheryl Light Apt. 874,Miller Ltd Apartments,2025-02-12
Albany,New York,Condo,1,3,2286.89,1012,Not Available,78,3.9,6758 Leon Oval Apt. 553,"Gilbert, Gutierrez and Miller Apartments",2026-03-28
Houston,Texas,Townhouse,2,3,7031.95,1150,Not Available,76,4.1,3276 Peter Passage,Price-Foster Apartments,2024-08-23
Dallas,Texas,House,1,1,2870.21,1040,Not Available,30,3.9,98773 Kimberly Fort Apt. 162,Jones-Shelton Apartments,2024-04-08
Orlando,Florida,Townhouse,1,3,2927.84,1169,Available,97,3.6,26868 Rivera Circle Apt. 885,Hoffman Ltd Apartments,2024-09-23
Orlando,Florida,Apartment,2,2,8610.13,1372,Available,57,2.9,68550 Edwards Station,Sanchez PLC Apartments,2024-07-23
Miami,Florida,Condo,3,1,6919.18,664,Available,97,4.2,5614 Cummings Crossing,Barnett PLC Apartments,2024-11-11
Chicago,Illinois,Condo,1,3,1581.93,1545,Not Available,49,3.3,182 Brandy Route,Tran-Vasquez Apartments,2025-06-15
Buffalo,New York,Apartment,4,1,5724.52,1358,Available,50,3.0,355 Megan Garden,"George, Smith and Hamilton Apartments",2025-06-18
Dallas,Texas,House,3,3,9609.65,1529,Available,34,4.5,49049 Daniel Crossing,Anderson-Lynn Apartments,2025-09-05
Houston,Texas,House,1,2,4552.06,869,Not Available,94,4.8,6397 Moore Center Suite 368,Bailey LLC Apartments,2026-04-04
Albany,New York,Townhouse,2,3,9431.81,643,Not Available,51,4.1,788 Xavier Dale,"Sanders, Moreno and Young Apartments",2024-04-08
Atlanta,Georgia,Townhouse,2,3,4751.48,1535,Available,66,4.1,84306 Jessica Summit Suite 450,Lam-Salazar Apartments,2025-01-07
Philadelphia,Pennsylvania,Condo,2,2,9512.57,2493,Available,38,4.0,51632 Chandler Summit Apt. 917,Ortega-Guerra Apartments,2025-06-21
Austin,Texas,Condo,2,3,5608.4,1715,Not Available,33,3.2,7546 Rollins Oval,"Bowers, Silva and Keith Apartments",2026-04-03
Austin,Texas,Apartment,2,2,6751.3,2265,Not Available,31,4.4,68797 Duran Cove,"Chandler, Stewart and Stanton Apartments",2026-03-19
Dallas,Texas,Apartment,4,2,19314.36,1702,Available,61,4.5,4815 Strickland Course,Brooks-Anderson Apartments,2024-07-23
Dallas,Texas,Townhouse,1,1,1469.76,2240,Not Available,71,4.1,86548 Martinez Flat,Krueger-Rodriguez Apartments,2024-07-16
Los Angeles,California,Condo,2,3,3590.95,2060,Not Available,90,3.1,273 Griffith Stravenue Suite 502,"Howell, Hicks and Chapman Apartments",2024-04-15
Miami,Florida,Townhouse,4,1,13463.95,1990,Not Available,32,3.7,95059 Katherine Track Suite 599,Ellis PLC Apartments,2025-10-08
Miami,Florida,Apartment,3,2,13184.82,1788,Available,46,4.3,286 Keith Islands,Anderson Group Apartments,2025-03-28
Atlanta,Georgia,Townhouse,1,2,3058.12,1799,Available,54,3.9,142 Davies Rest,Fisher and Sons Apartments,2025-09-01
Houston,Texas,House,3,1,14848.91,1641,Available,82,4.6,32250 Harris Forest Apt. 179,"Thomas, Gonzalez and Moss Apartments",2024-08-07
Austin,Texas,Apartment,4,2,12567.49,1026,Available,44,4.5,484 Maria Point,"Michael, Adams and Pena Apartments",2025-10-16
NYC,New York,Condo,1,1,4869.19,1822,Not Available,34,5.0,69461 Nicholas Divide,Dixon Ltd Apartments,2026-03-17
Buffalo,New York,Condo,2,3,4284.24,1977,Not Available,56,3.3,89564 Matthew Springs,Smith Inc Apartments,2024-04-13
Buffalo,New York,House,2,1,4913.77,2289,Available,77,3.2,236 Moon Plain,"Bryant, Fischer and Hobbs Apartments",2024-04-27
Buffalo,New York,Apartment,4,3,7129.43,718,Not Available,95,4.4,3841 Morgan Ports Apt. 432,"Tate, Mitchell and Sanchez Apartments",2025-02-24
Dallas,Texas,House,4,1,12038.7,872,Available,81,4.0,190 Michael Mill Apt. 248,"Bridges, Faulkner and Carter Apartments",2026-02-08
Albany,New York,Townhouse,1,3,4411.47,1090,Not Available,37,4.3,2483 Perez Knolls Suite 649,Bush-Welch Apartments,2024-08-29
Houston,Texas,Apartment,1,3,2364.86,2217,Available,36,3.9,652 Graham Place,Walsh-Marshall Apartments,2025-05-01
Pittsburgh,Pennsylvania,Townhouse,3,1,14607.26,1036,Not Available,57,3.0,7845 Christine Island,"Arroyo, Cherry and Freeman Apartments",2025-02-27
Los Angeles,California,House,4,2,10145.46,1668,Not Available,43,3.3,00558 Richard Garden Apt. 297,Henderson Inc Apartments,2025-02-13
Los Angeles,California,Apartment,4,2,5994.16,2109,Available,32,4.4,709 Marissa Walks,"Romero, Ramirez and Johnson Apartments",2026-03-09
Los Angeles,California,House,3,3,4705.67,2132,Available,67,3.0,74506 Gomez Plains,Olsen-Marsh Apartments,2025-03-06
Atlanta,Georgia,House,2,1,6636.71,773,Available,48,4.4,95824 Amy Trail,Daniel Group Apartments,2024-06-22
Austin,Texas,House,2,3,7387.79,1819,Not Available,61,2.7,1886 Carol View Suite 316,Evans Inc Apartments,2026-03-05
Pittsburgh,Pennsylvania,House,2,3,3346.15,1797,Available,98,4.2,1654 Charles Fall Suite 181,Hoffman Inc Apartments,2024-05-11
NYC,New York,Townhouse,4,1,6321.25,2175,Available,59,2.8,32510 Stuart Inlet Suite 661,"Taylor, Alexander and Williams Apartments",2025-12-23
Albany,New York,House,3,1,12159.81,690,Not Available,69,2.5,28023 Perry Green Apt. 833,"Rosario, Anderson and Martinez Apartments",2025-05-13
Houston,Texas,Townhouse,1,3,1675.91,1821,Not Available,59,3.7,4140 Daniel Motorway Suite 950,Chapman and Sons Apartments,2024-11-17
Buffalo,New York,Townhouse,3,2,9440.4,1460,Available,42,3.1,15662 Bowers Mountains,Wang and Sons Apartments,2024-12-31
Austin,Texas,Condo,4,2,9806.86,2119,Available,30,3.8,53733 Rich Harbors,Harvey LLC Apartments,2025-09-07
San Diego,California,Townhouse,4,1,4584.28,1949,Not Available,65,4.4,342 Brown Light Suite 200,Myers Inc Apartments,2025-02-15
Atlanta,Georgia,Townhouse,1,3,3088.43,711,Not Available,47,3.9,64115 Armstrong Cape,"Murphy, Young and Jenkins Apartments",2024-04-16
San Diego,California,House,1,2,3847.62,1150,Not Available,78,3.3,662 Robinson Burg Suite 811,Lee-Simpson Apartments,2024-04-18
Chicago,Illinois,Apartment,2,3,4018.3,1695,Not Available,87,3.5,25038 Taylor Locks,Hubbard-Mercer Apartments,2025-01-12
Austin,Texas,House,3,1,13376.42,2463,Not Available,72,5.0,48255 Michael Square,Miller Group Apartments,2024-05-02
Austin,Texas,House,1,2,4650.64,1535,Not Available,97,4.0,395 Allen Ports,"Wilson, Blake and Fowler Apartments",2025-10-31
Dallas,Texas,Condo,2,3,3169.93,2173,Available,83,2.9,73330 Williams Lock Apt. 706,Turner-Walter Apartments,2025-10-27
Orlando,Florida,House,3,2,14106.43,2004,Not Available,64,4.5,78187 Kemp Parkways,Shah-Vincent Apartments,2026-02-21
Pittsburgh,Pennsylvania,Condo,1,2,1454.49,927,Available,50,4.6,931 Clark Junctions,Stone LLC Apartments,2024-08-05
San Diego,California,Townhouse,2,1,4217.29,2103,Not Available,90,3.6,7693 Mackenzie Pine,Munoz-Daniels Apartments,2025-08-30
Miami,Florida,Townhouse,2,1,6450.12,1459,Available,38,3.1,6366 Fuller Estate Apt. 816,"Rosario, Mckee and Davis Apartments",2026-02-16
Philadelphia,Pennsylvania,Apartment,1,2,1188.88,876,Not Available,49,3.2,679 Christopher Radial,"Thompson, Fowler and Coleman Apartments",2024-07-20
Chicago,Illinois,Condo,4,2,4875.45,996,Not Available,59,3.6,72552 Page Isle,"Garcia, Alvarez and Stephens Apartments",2025-06-01
Buffalo,New York,House,4,1,4214.76,845,Not Available,33,4.6,470 Jason Radial,"Trujillo, Wood and Campbell Apartments",2024-09-19
Pittsburgh,Pennsylvania,Apartment,2,1,6113.73,1642,Not Available,69,4.7,473 Robert Lakes Apt. 950,Harris Group Apartments,2025-02-02
Tampa,Florida,Townhouse,3,3,12334.44,1847,Available,76,3.1,566 Bass Center,Schmidt LLC Apartments,2024-09-24
Albany,New York,Apartment,3,2,10478.93,2037,Not Available,100,4.5,200 Crystal Rapids,Young and Sons Apartments,2025-12-27
Atlanta,Georgia,Condo,1,2,1046.35,882,Available,62,3.3,554 John Road Suite 612,Rios-Rivera Apartments,2026-03-20
Atlanta,Georgia,Townhouse,1,1,3183.87,653,Available,74,3.9,80821 Jenkins Summit Apt. 823,"Conley, Jenkins and Pittman Apartments",2024-12-11
Atlanta,Georgia,House,2,3,9307.61,1821,Not Available,71,4.5,936 Yang Extension Apt. 692,Ochoa-Moss Apartments,2025-10-27
Los Angeles,California,Condo,2,3,6157.37,885,Available,52,4.0,180 Brandon Islands,"Rodriguez, Brown and Wagner Apartments",2025-11-25
Miami,Florida,Condo,3,2,9898.9,857,Available,93,3.2,50007 Martinez Hollow Apt. 498,Campbell Inc Apartments,2024-12-22
Buffalo,New York,Townhouse,4,3,5744.37,2266,Available,69,3.4,73271 Decker Garden Apt. 981,Murphy-Mccullough Apartments,2026-02-04
NYC,New York,Apartment,2,3,6966.58,901,Not Available,31,3.7,77740 Brown Heights Suite 448,"Pacheco, Lopez and Cain Apartments",2026-02-13
Atlanta,Georgia,Apartment,4,3,13621.77,2393,Available,77,2.9,422 Donald Ways,Foster-Martinez Apartments,2024-10-13
Houston,Texas,Apartment,3,2,4544.27,949,Not Available,42,2.7,57337 Richard Spring,Orr-Watson Apartments,2024-08-03
Dallas,Texas,House,4,2,16851.22,1996,Available,73,3.0,38388 Small Ports Suite 481,Moreno Group Apartments,2025-02-18
Atlanta,Georgia,Townhouse,2,1,8615.82,962,Available,37,2.8,03497 Cody Extensions Apt. 894,Martinez Ltd Apartments,2026-03-26
San Diego,California,Condo,4,2,12762.33,1518,Available,53,3.9,113 Smith Corners Apt. 337,Mcknight-Torres Apartments,2024-12-25
NYC,New York,Condo,1,3,2165.29,2239,Available,32,4.9,137 Leslie Island,Pena-Jones Apartments,2024-06-30
Austin,Texas,House,4,3,17474.86,2121,Not Available,43,4.6,08423 Brian Island,"Pitts, Ramos and Miller Apartments",2025-07-02
Miami,Florida,House,2,2,9619.89,1042,Not Available,79,2.8,653 James Villages,Jimenez-Andersen Apartments,2025-05-24
Miami,Florida,Townhouse,3,3,3329.64,1943,Not Available,55,3.2,897 Chavez Knolls,Baker-Robbins Apartments,2025-03-11
Austin,Texas,Condo,4,2,9490.28,993,Available,43,3.0,35928 Taylor Loaf,Reeves PLC Apartments,2024-12-15
Orlando,Florida,Condo,2,3,3031.58,2274,Available,82,2.9,93963 Barajas Wells Suite 696,Lewis LLC Apartments,2024-10-09
Philadelphia,Pennsylvania,Condo,3,3,10522.41,1978,Available,56,3.4,76612 Owens Station,"Haynes, Wade and Briggs Apartments",2025-05-22
Chicago,Illinois,House,2,3,9792.92,2188,Not Available,67,3.9,56833 Angela Mount,"Macdonald, King and Harmon Apartments",2025-01-20
Philadelphia,Pennsylvania,House,4,2,12970.26,1638,Not Available,83,4.0,579 Murphy Shoals,"Singleton, Tanner and Ingram Apartments",2025-01-16
San Diego,California,Apartment,4,2,7409.71,1784,Not Available,89,4.0,3491 Flynn Street Apt. 802,Walker-Christensen Apartments,2024-11-29
Dallas,Texas,House,2,1,2534.47,1038,Not Available,54,4.0,36550 Marcus Spur,"Miller, Sullivan and Ward Apartments",2025-05-21
Los Angeles,California,House,2,3,3617.18,2066,Available,58,4.4,155 Wallace Vista,"Stout, Hernandez and Porter Apartments",2025-03-12
Tampa,Florida,Townhouse,2,1,5138.47,670,Available,47,4.2,14534 Mikayla Burg Suite 390,Allen-Watson Apartments,2024-07-26
Dallas,Texas,Apartment,3,1,12093.95,1810,Not Available,86,2.5,807 Hampton Burgs Apt. 220,Gomez-Norman Apartments,2024-11-04
NYC,New York,House,4,1,19592.43,1613,Not Available,98,4.4,82500 Harris Neck Suite 928,"Carter, Benjamin and Hanson Apartments",2025-08-28
Miami,Florida,House,4,2,14020.99,1204,Not Available,76,4.1,3339 Jessica Summit Suite 828,Garcia Ltd Apartments,2026-02-25
Philadelphia,Pennsylvania,Townhouse,4,3,10968.67,1634,Not Available,69,4.3,124 Wood Avenue,Sampson-Fisher Apartments,2024-10-28
San Francisco,California,Apartment,2,1,5988.59,2040,Available,96,4.8,4154 Benson Landing Apt. 977,"Bowman, Munoz and Benson Apartments",2024-10-09
Philadelphia,Pennsylvania,Condo,1,1,2266.82,1278,Not Available,60,4.0,3561 Sarah Plaza Suite 532,"Mcconnell, York and House Apartments",2025-10-19
San Francisco,California,Townhouse,2,1,9724.94,1322,Not Available,65,4.9,40571 Mark Views,"Owens, Fletcher and Hill Apartments",2024-08-06
Tampa,Florida,House,1,2,1833.11,1204,Available,76,4.7,3153 Espinoza Roads Suite 016,Thomas-Rivera Apartments,2024-04-06
Pittsburgh,Pennsylvania,House,1,1,4528.64,1388,Available,61,3.6,4685 Kim Mountains,Jennings Group Apartments,2025-02-18
San Francisco,California,Apartment,3,1,4791.56,614,Available,46,3.2,293 Robin Roads Apt. 809,Walker-Hill Apartments,2024-05-24
Austin,Texas,Condo,1,1,4717.59,776,Available,79,3.3,7397 Molly Squares,Torres Ltd Apartments,2024-09-06
Pittsburgh,Pennsylvania,Townhouse,2,2,3806.85,2325,Available,61,2.9,5794 Valerie Summit,"Rhodes, Perez and Mack Apartments",2026-02-07
San Diego,California,Townhouse,4,2,12723.0,2186,Available,84,4.1,58098 Ruiz Gateway,Smith Group Apartments,2026-01-20
San Diego,California,Apartment,1,1,3850.33,1925,Not Available,55,4.1,85380 Allison Well Suite 688,"Logan, Baker and Williamson Apartments",2024-04-09
Dallas,Texas,Townhouse,1,1,4652.59,2211,Available,80,4.3,444 Silva Parkway Suite 842,Hood Group Apartments,2024-05-30
Houston,Texas,Townhouse,3,3,5244.44,1198,Available,64,3.3,9541 Willis Trace Suite 487,Rivera-Hurst Apartments,2025-01-20
Pittsburgh,Pennsylvania,House,4,2,8027.14,2332,Not Available,56,4.8,352 Wallace Extension Apt. 740,Harris LLC Apartments,2025-11-29
Tampa,Florida,Condo,2,3,7127.83,1357,Not Available,42,4.3,118 Graves Coves Apt. 858,Levy-Paul Apartments,2026-01-06
San Diego,California,Apartment,3,2,4971.83,2458,Not Available,73,5.0,18844 Horn Lane Apt. 125,Skinner Inc Apartments,2025-12-15
San Francisco,California,House,2,2,6719.45,647,Not Available,54,2.7,3984 Jody Mountain Suite 983,Foley Inc Apartments,2025-05-10
Buffalo,New York,Apartment,4,2,10476.37,1976,Available,55,3.4,4929 Cook Views,English-Green Apartments,2025-11-06
Tampa,Florida,Townhouse,4,2,5185.23,860,Available,36,3.7,34612 Peters Pike,Owens-Wilson Apartments,2025-10-02
Buffalo,New York,Townhouse,4,1,16981.45,1856,Not Available,62,4.2,35948 Johnson Causeway Apt. 694,Cox and Sons Apartments,2025-08-25
Chicago,Illinois,Apartment,4,3,5999.04,857,Not Available,98,2.9,4459 Loretta Glen,Weber PLC Apartments,2025-01-06
Austin,Texas,Townhouse,4,3,19748.01,1909,Not Available,98,2.9,975 Richard Expressway,Werner-Powell Apartments,2025-04-10
Albany,New York,Townhouse,1,1,4150.19,606,Not Available,56,3.1,690 Jennifer Islands,"Sanders, Walker and Jackson Apartments",2024-08-26
Tampa,Florida,Townhouse,3,3,5732.35,774,Not Available,96,3.7,9476 Sanchez Hill,Werner Group Apartments,2025-05-07
San Francisco,California,Condo,2,2,8761.68,1418,Not Available,87,4.8,240 Hicks Forks Apt. 611,"Chen, Castro and Bennett Apartments",2025-10-28
Pittsburgh,Pennsylvania,Apartment,2,2,5608.65,1051,Not Available,87,3.2,0732 Martinez Via Apt. 351,Floyd Ltd Apartments,2025-01-13
Orlando,Florida,Townhouse,4,3,8723.94,601,Not Available,46,4.9,6500 Sophia Manors,"Hall, Smith and Morgan Apartments",2025-08-11
Chicago,Illinois,House,3,3,4086.62,2171,Available,93,3.8,262 Vincent Orchard Apt. 620,Morrow PLC Apartments,2024-05-17
NYC,New York,House,3,3,12116.71,1563,Not Available,54,2.7,65152 Eric Mews,"Sharp, Wilkins and Leon Apartments",2025-12-29
Chicago,Illinois,Condo,3,1,10756.94,1592,Not Available,78,4.2,9862 Jones Corner,"Green, Chaney and Taylor Apartments",2025-01-21
Tampa,Florida,House,2,1,3476.2,1079,Not Available,63,4.4,67442 Price Roads Apt. 489,"Norris, Cox and King Apartments",2024-09-06
Miami,Florida,Condo,2,2,9993.74,894,Not Available,64,3.9,558 Herman Drive,Anderson-Robinson Apartments,2024-11-28
San Francisco,California,House,1,3,2470.56,2173,Not Available,71,4.6,557 Jeremiah Mountain Suite 827,"Smith, Mccormick and Wright Apartments",2026-01-16
Houston,Texas,Apartment,1,1,2196.84,1526,Available,38,3.8,33267 Estrada Coves,"Williams, Paul and Smith Apartments",2025-11-24
Buffalo,New York,House,2,1,7136.68,826,Not Available,91,4.8,8812 Price Drive Apt. 255,Price Ltd Apartments,2026-01-12
Philadelphia,Pennsylvania,House,1,1,4265.01,1430,Available,94,3.4,0467 Cory Burgs,Parks Group Apartments,2025-03-14
Orlando,Florida,Condo,3,1,10527.6,1240,Not Available,42,4.3,383 Valdez Run Apt. 649,"Lewis, Zimmerman and Shelton Apartments",2025-09-03
Miami,Florida,Apartment,1,1,1180.65,1317,Not Available,50,2.8,587 Morris Burgs,Walsh Ltd Apartments,2025-10-03
Albany,New York,Condo,2,3,3797.65,768,Not Available,91,4.1,238 Debra Squares Apt. 624,"Smith, Taylor and Cox Apartments",2024-11-05
Los Angeles,California,Apartment,2,3,6433.77,734,Not Available,73,3.9,686 Hunter Landing Apt. 563,"Henderson, Little and Taylor Apartments",2024-11-03
Philadelphia,Pennsylvania,House,4,1,6689.42,885,Not Available,35,4.5,0081 James Lodge,"Martin, Davis and Williams Apartments",2025-07-12
Chicago,Illinois,Condo,2,2,6017.28,2065,Not Available,34,2.7,45468 Boyd Glen Suite 363,Cook Ltd Apartments,2025-01-16
Buffalo,New York,Apartment,1,3,4223.82,1870,Available,99,2.6,74221 Barnes Club Suite 599,Johnson Inc Apartments,2024-04-16
Philadelphia,Pennsylvania,House,2,2,2413.92,1413,Not Available,82,3.8,83253 Smith Trail,"Hoffman, Pineda and West Apartments",2025-03-04
Chicago,Illinois,Apartment,1,2,4426.19,1007,Not Available,75,4.4,67570 Jonathan Springs Apt. 205,Herman-Wood Apartments,2024-12-22
Atlanta,Georgia,House,4,3,18573.34,2382,Not Available,45,4.6,76027 Matthew Center,Nash PLC Apartments,2025-05-06
Orlando,Florida,Condo,3,1,6779.84,1655,Not Available,44,3.0,2241 Hunt Skyway,Lopez Group Apartments,2024-11-16
Buffalo,New York,Apartment,2,1,4183.8,1311,Available,30,4.5,9661 Justin Avenue,"Guerrero, Shaw and Ward Apartments",2025-11-24
Miami,Florida,Townhouse,3,3,6007.98,659,Not Available,68,3.7,565 Kaitlyn Forges,"Hoover, Black and Martinez Apartments",2025-08-20
Miami,Florida,Condo,1,2,4222.74,1771,Available,50,2.8,44153 Tamara Cove,Snyder-Parker Apartments,2024-12-27
Dallas,Texas,Apartment,4,1,17823.03,1406,Available,34,4.7,48747 Rachel Neck,"Bailey, Cherry and Ward Apartments",2026-02-03
Los Angeles,California,House,1,2,3772.93,1833,Not Available,60,3.2,69035 Williams Walk Suite 361,Gonzalez-Randall Apartments,2025-10-31
San Francisco,California,Townhouse,2,2,9143.41,979,Not Available,92,4.3,18594 Jonathan Views Apt. 478,"Smith, Boyd and Taylor Apartments",2025-01-15
Tampa,Florida,Condo,2,2,5517.7,2414,Not Available,52,2.6,2067 Wayne Drives,"Daniel, Roberts and Ibarra Apartments",2026-01-22
Pittsburgh,Pennsylvania,House,4,1,12341.3,1418,Not Available,36,4.5,192 Andrew Station Suite 669,"Beasley, Lewis and Davis Apartments",2024-08-22
Buffalo,New York,Condo,2,1,4561.65,2453,Not Available,86,3.9,8867 Jeremy Center,Wilkins PLC Apartments,2024-11-22
Buffalo,New York,Apartment,2,3,8300.44,1943,Not Available,63,3.5,2219 Angelica Locks Apt. 437,Hines Inc Apartments,2024-07-30
Orlando,Florida,Condo,2,1,8431.73,1075,Not Available,99,2.9,19127 Diana Tunnel Suite 612,Knight LLC Apartments,2025-08-21
San Diego,California,Condo,1,1,3476.39,896,Available,67,4.4,31071 Hill Plaza,"Chandler, Lee and Andrews Apartments",2025-03-06
Orlando,Florida,Townhouse,4,2,12062.9,2264,Not Available,60,4.9,9842 Hamilton Brook,Thompson Ltd Apartments,2024-05-14
Buffalo,New York,Townhouse,2,1,6637.97,753,Not Available,54,2.6,1843 Curtis Village,Mcclure-Richardson Apartments,2024-05-03
Los Angeles,California,Condo,4,3,13640.5,1713,Not Available,92,3.1,5275 Rice Port,Chang and Sons Apartments,2024-06-08
Houston,Texas,Apartment,1,1,3913.61,1228,Available,97,3.0,61208 Black Villages,"Greer, Elliott and Johnson Apartments",2025-09-29
Chicago,Illinois,Townhouse,3,3,11754.36,624,Not Available,52,4.8,671 Bennett Stravenue Suite 039,Olson-Hughes Apartments,2026-02-26
Los Angeles,California,Townhouse,2,1,4330.45,603,Available,59,3.8,0336 Kelly Haven Apt. 898,Young Inc Apartments,2025-03-06
Philadelphia,Pennsylvania,Townhouse,3,2,4658.56,2478,Not Available,96,3.3,721 Brian Parkway Apt. 977,Bentley-Lopez Apartments,2025-05-13
Los Angeles,California,Condo,2,1,3272.06,978,Available,42,2.9,7015 Perkins Estate Apt. 512,Jenkins Ltd Apartments,2026-01-10
NYC,New York,Townhouse,3,1,3294.56,1964,Not Available,45,4.3,848 Hernandez Gardens Suite 339,"Fields, Hoffman and Lowe Apartments",2025-05-14
Atlanta,Georgia,Townhouse,2,3,5356.48,1038,Available,57,4.8,460 Rachel Port,Kim-Jones Apartments,2025-01-16
Buffalo,New York,House,2,1,7585.72,1510,Available,35,4.0,765 Joshua Ports,"Carter, Smith and Davies Apartments",2025-12-02
Austin,Texas,Apartment,3,2,5979.76,2080,Available,37,4.3,7599 Davis Freeway,Marshall-Wilson Apartments,2025-08-10
San Francisco,California,Apartment,2,3,4577.94,2276,Available,35,3.1,2284 Megan Dale Suite 749,Hammond PLC Apartments,2025-02-16
Houston,Texas,House,4,2,12571.43,1018,Available,73,2.9,5769 Bruce Green,Bradley-Pace Apartments,2024-06-04
San Diego,California,Townhouse,1,1,2872.29,641,Not Available,46,4.8,53250 Gonzalez Parkways,Richardson LLC Apartments,2025-01-29
Buffalo,New York,Apartment,1,2,1548.59,2235,Available,79,4.9,46080 Jodi Turnpike,Smith Group Apartments,2024-09-29
Tampa,Florida,Apartment,1,3,2356.71,1335,Not Available,80,2.8,693 Frederick Springs,Banks-Sharp Apartments,2025-11-16
Miami,Florida,Townhouse,2,2,2886.1,917,Available,71,4.8,236 Craig Run Apt. 108,Perez-Hayes Apartments,2025-06-14
Orlando,Florida,House,4,2,10382.09,1476,Available,36,3.9,828 Lee Alley,Barnes-Marshall Apartments,2025-09-09
San Diego,California,Townhouse,4,3,19656.57,1641,Not Available,85,4.6,3755 Robert Brooks Suite 723,Jones-Ortiz Apartments,2024-09-06
Buffalo,New York,Townhouse,2,1,2690.25,980,Not Available,58,2.7,5286 Jerry Knolls,West-Bernard Apartments,2026-01-09
Austin,Texas,House,1,2,4900.86,2403,Not Available,67,2.9,58614 Erickson Ways Suite 356,Callahan Ltd Apartments,2024-06-01
Houston,Texas,Condo,1,3,4254.69,2062,Not Available,99,3.5,768 Smith Road,Blake PLC Apartments,2024-06-17
Miami,Florida,Apartment,4,3,18593.63,1258,Available,59,2.6,3411 Jones Summit Apt. 870,Shepard Group Apartments,2024-08-26
Tampa,Florida,House,4,1,6998.3,1888,Available,51,2.6,11916 Abigail Tunnel,Warren and Sons Apartments,2024-06-11
Miami,Florida,Apartment,1,3,1482.24,652,Available,42,4.7,77160 Deborah Meadows Suite 379,Obrien Group Apartments,2024-10-08
Tampa,Florida,House,3,3,14850.96,1701,Available,85,4.6,93868 Bailey Fall,"Taylor, Charles and Bell Apartments",2025-06-16
Albany,New York,Apartment,4,2,7600.45,2004,Not Available,92,4.0,96275 Sullivan Trace Apt. 449,"Mendoza, Ferguson and Howell Apartments",2025-08-19
Miami,Florida,House,4,2,15731.97,2485,Not Available,62,3.3,5615 David Brooks,"Bennett, Cook and Neal Apartments",2024-07-04
Orlando,Florida,Condo,3,3,11110.32,1351,Not Available,36,2.9,3728 Randall Landing Suite 329,"Taylor, Howard and Hicks Apartments",2024-07-22
Chicago,Illinois,House,4,1,9763.55,2238,Available,75,3.6,1726 Peter Shoal,Cabrera-Gentry Apartments,2025-02-23
Houston,Texas,Apartment,3,2,14607.73,2424,Not Available,52,3.2,800 Dylan Cove,Cox-Barton Apartments,2025-12-23
Austin,Texas,Apartment,2,1,3330.82,839,Available,85,3.2,6566 Briggs Forks,Morales LLC Apartments,2024-08-23
Pittsburgh,Pennsylvania,Condo,3,1,7072.58,1332,Available,99,4.6,1353 Jackson Manors,"Nelson, Diaz and Thompson Apartments",2024-12-18
Miami,Florida,Condo,4,2,19022.38,952,Not Available,47,4.5,54388 Julia Curve,Bell-Ruiz Apartments,2024-12-11
Houston,Texas,Apartment,3,2,10888.81,1664,Not Available,39,3.5,78409 James Light Apt. 467,"Mullen, Dougherty and Moody Apartments",2025-04-29
San Diego,California,Townhouse,2,3,3215.31,1105,Available,100,4.8,90879 Andrew Shore,"Harper, Williams and Kim Apartments",2024-08-21
San Francisco,California,Condo,4,3,8079.26,1444,Available,93,2.7,1879 Karen Spur,"Watson, Sparks and Washington Apartments",2026-01-26
Los Angeles,California,Condo,3,2,3256.36,1236,Available,64,4.2,541 Lopez Garden,Wyatt PLC Apartments,2024-08-27
Pittsburgh,Pennsylvania,Apartment,4,2,18866.08,1839,Available,86,3.5,43792 Williams Mountains,Vega-Powell Apartments,2024-06-30
Orlando,Florida,House,3,2,3449.69,2426,Available,42,3.4,22327 Jackson Way Apt. 569,"Miller, Kim and Craig Apartments",2024-10-27
Tampa,Florida,Townhouse,1,2,3623.19,1828,Not Available,94,2.8,82904 Sydney Center,"Jennings, Taylor and Arnold Apartments",2024-05-25
Buffalo,New York,Apartment,3,2,13523.31,2073,Not Available,77,3.0,9159 Stevens Court,"Johnson, Thompson and Gibson Apartments",2024-08-26
NYC,New York,Condo,1,3,2249.56,1958,Available,73,3.5,2577 Kari Canyon,"Hutchinson, Woods and Garcia Apartments",2024-12-26
Austin,Texas,Apartment,4,3,19022.86,1721,Available,49,4.0,3700 Stewart Fords Apt. 154,Rose Group Apartments,2024-07-13
